zone,latitude,longitude,area
us-east-2,40.4173,-82.9071,US East (Ohio)
us-east-1,37.926868,-78.024902,US East (N. Virginia)
us-west-1,38.8375,-120.8958,US West (N. California)
us-west-2,43.8041,-120.5542,US West (Oregon)
af-south-1,-33.9249,18.4241,Africa (Cape Town)
ap-east-1,22.3193,114.1694,Asia Pacific (Hong Kong)
ap-south-1,19.076,72.8777,Asia Pacific (Mumbai)
ap-northeast-3,34.669529,135.497009,Asia Pacific (Osaka-Local)
ap-northeast-2,37.5665,126.978,Asia Pacific (Seoul)
ap-southeast-1,1.3521,103.8198,Asia Pacific (Singapore)
ap-southeast-2,-33.8688,151.2093,Asia Pacific (Sydney)
ap-northeast-1,35.6804,139.769,Asia Pacific (Tokyo)
ca-central-1,43.65107,-79.347015,Canada (Central)
eu-central-1,50.1109,8.6821,Europe (Frankfurt)
eu-west-1,53.1424,-7.6921,Europe (Ireland)
eu-west-2,51.5074,-0.1278,Europe (London)
eu-south-1,45.4642,9.19,Europe (Milan)
eu-west-3,48.8566,2.3522,Europe (Paris)
eu-north-1,59.3293,18.0686,Europe (Stockholm)
me-south-1,26.0667,50.5577,Middle East (Bahrain)
sa-east-1,-23.5505,-46.6333,South America (São Paulo)
