nuc1.planet-lab.eu,185.6.36.50,Dublin,AS2128 Internet Neutral Exchange Association Limited
planetlab-1.ing.unimo.it,80.81.195.152,Frankfurt am Main,AS47872 Sofia Connect EAD
planetlab1.cs.uit.no,63.217.254.74,Herndon,AS3491 PCCW Global, Inc.
iraplab1.iralab.uni-karlsruhe.de,80.81.194.152,Frankfurt am Main,AS47872 Sofia Connect EAD
planetlab2.cs.ucla.edu,137.164.11.21,San Diego,AS2152 California State University, Office of the Chancellor
stella.planetlab.ntua.gr,91.210.16.120,Prague,
vicky.planetlab.ntua.gr,91.210.16.120,Prague,
planetlab-01.bu.edu,4.14.156.166,New York,AS3356 Level 3 Parent, LLC
aladdin.planetlab.extranet.uni-passau.de,193.178.185.95,Berlin (Moabit),
planetlab3.cs.uoregon.edu,64.57.30.3,Ann Arbor,AS11537 Internet2
planetlab1.utdallas.edu,162.252.69.215,Ann Arbor (Bryant Pattengill East),
dplanet1.uoc.edu,80.81.195.152,Frankfurt am Main,AS47872 Sofia Connect EAD
planetlab-n1.wand.net.nz,63.217.254.74,Herndon,AS3491 PCCW Global, Inc.
ple43.planet-lab.eu,185.6.36.50,Dublin,AS2128 Internet Neutral Exchange Association Limited
planet3.cs.huji.ac.il,94.100.252.88,London,AS34086 T-Systems International GmbH
kulcha.mimuw.edu.pl,80.81.195.152,Frankfurt am Main,AS47872 Sofia Connect EAD
planetlab1.cs.purdue.edu,64.57.30.3,Ann Arbor,AS11537 Internet2
dschinni.planetlab.extranet.uni-passau.de,193.178.185.95,Berlin (Moabit),
ple1.cesnet.cz,91.210.16.120,Prague,
planet4.cs.huji.ac.il,94.100.252.88,London,AS34086 T-Systems International GmbH
ple41.planet-lab.eu,185.6.36.50,Dublin,AS2128 Internet Neutral Exchange Association Limited
ple44.planet-lab.eu,185.6.36.50,Dublin,AS2128 Internet Neutral Exchange Association Limited
planetlab-2.ing.unimo.it,80.81.195.152,Frankfurt am Main,AS47872 Sofia Connect EAD
ple2.cesnet.cz,91.210.16.120,Prague,
